,composition,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
1502,Ge0.500Ti0.100Mn0.200Fe0.200Te,224.7441674494949,215.23077561616154,249.99733902020196,346.91200025252516,311.76678791414133,322.2943642929293,235.12708913131308,238.49939899999995,285.28226717171714,253.49958480808075
1503,Ge0.500Ti0.100Mn0.300Fe0.100Te,242.61567786868682,229.46947542424238,234.03614042929286,311.97840910101,333.84498176767664,283.4030357070706,281.45660910101003,265.9332229797979,298.1141181414141,243.8851342424242
1504,Ge0.500Ti0.200Mn0.100Fe0.200Te,172.5673629343434,182.68724170202017,246.19856513131307,300.2401399494949,298.83432673737366,210.8297644444444,215.31765238383835,198.82391299494944,262.96243458585855,198.47072405555548
1505,Ge0.500Ti0.200Mn0.200Fe0.100Te,152.18737705555554,164.27064305050502,198.45912232828277,283.70578910101005,275.1251245656565,215.4263920656565,211.9777571363636,196.81722156060601,234.2825304949494,181.39920625252523
1506,Ge0.500Ti0.300Mn0.100Fe0.100Te,213.46737020202016,231.21444530303026,249.06272791919184,290.4782301515151,326.9440757070706,257.2931556262626,231.30985720202017,242.2946716464646,272.2979348585858,235.8064518383838
1507,Ge0.500Ti0.100Mn0.100Co0.300Te,240.16655599999996,227.08312709090904,247.12335861616154,298.6653748434342,308.6086308585858,314.1730439646464,293.0189972828282,259.7912408080807,312.25802372727264,286.6295889393939
1508,Ge0.500Ti0.100Mn0.200Co0.200Te,204.36685010101004,201.5061245454545,240.74106241414134,321.67604339393927,307.09875216161606,256.986970070707,226.49599878787873,186.89092039898983,291.0846467171716,249.05117368686862
1509,Ge0.500Ti0.100Mn0.300Co0.100Te,241.77044969696965,225.2411679595959,229.28446986868678,285.06401484848476,321.0337717171716,270.20960127272724,265.9640915656565,244.3057706666666,304.32813156565646,241.7965952424242
1510,Ge0.500Ti0.200Mn0.100Co0.200Te,164.80756019191918,166.5051606363636,221.03678283838377,295.2025394949494,288.6597596969696,189.26878970202017,204.76028182828276,171.2023267323232,256.1448104141413,188.13139975757574
1511,Ge0.500Ti0.200Mn0.200Co0.100Te,173.83894706565653,164.1202288535353,214.27173033333327,263.79986844444437,249.60089791919185,196.16227908585853,204.471891080808,180.07838271717168,252.317328080808,186.6162188737373
1512,Ge0.500Ti0.300Mn0.100Co0.100Te,212.82183112121209,224.33916378787873,234.21605440404034,272.22959469696957,317.12291858585854,244.72292539393933,220.30097677777775,217.36273771717168,276.90777793939384,229.5855536666666
1513,Ge0.500Ti0.100Mn0.100Ni0.300Te,240.0503791717171,231.73943357575752,234.82854519191915,324.9845567474746,307.93313409090905,326.40851482828276,293.53738167676755,267.7748211616161,305.0726298989898,300.52893789898985
1514,Ge0.500Ti0.100Mn0.200Ni0.200Te,191.063209010101,185.6054579797979,225.0627092525252,318.76182454545443,299.46134524242416,273.7947004040403,216.81405360606053,175.1414708686868,282.6746332525252,245.54519698989893
1515,Ge0.500Ti0.100Mn0.300Ni0.100Te,232.40470393939387,223.93136371212117,222.22478121212117,305.3367118181818,326.21967409090905,283.0229346666666,263.0745919696969,223.80150592929286,285.85070848484844,252.32507263636356
1516,Ge0.500Ti0.200Mn0.100Ni0.200Te,155.52514397474744,164.4030272222222,218.82045356565652,301.75890462626256,290.66864253535346,219.69070168686866,211.49969995959592,165.7832135656565,238.0468361363636,204.75551989898983
1517,Ge0.500Ti0.200Mn0.200Ni0.100Te,168.72094890909085,168.44558362626256,204.56157696969692,276.43764260606054,265.0731464545454,240.5642018636363,216.05497875252522,182.93735940404034,224.8272056666666,203.2142048787878
1518,Ge0.500Ti0.300Mn0.100Ni0.100Te,220.88937825252518,225.34536131313124,246.89542484848477,280.80408015151505,319.1116182323231,285.020670050505,238.35330943434337,236.00045013131307,265.8245235555555,249.12043080808076
1519,Ge0.500Ti0.100Mn0.100Cu0.300Te,282.44552008080797,286.1435124040403,300.1102238888888,364.3582640656565,351.2173721818181,331.22293329292927,302.3928933232322,310.13021776767664,324.4927555959595,324.89733999999993
1520,Ge0.500Ti0.100Mn0.200Cu0.200Te,214.8899901717171,210.10669116161608,277.3246193131313,344.9754332525252,353.2379727424241,275.3600144040403,238.71443859595954,218.9387343434343,323.2416109090908,281.6361433535353
1521,Ge0.500Ti0.100Mn0.300Cu0.100Te,265.71364440404034,232.57044418181815,251.4320828787878,336.15946231313126,346.1466781818181,283.659039520202,282.64198534343427,258.48612963636356,327.84535888888877,288.6590093535353
1522,Ge0.500Ti0.200Mn0.100Cu0.200Te,186.67027976767673,177.29738768181812,264.58340329292923,328.9672174242423,320.73735328282817,245.0135865656565,233.43822106060597,201.38256710101004,270.86150686868683,221.89252041919184
1523,Ge0.500Ti0.200Mn0.200Cu0.100Te,203.43396928787874,185.2265277676767,234.18853524242417,336.42518308080804,284.88257392424237,268.38276642424233,236.08239557575752,197.57035919191915,279.45794606060605,230.53684117171713
1524,Ge0.500Ti0.300Mn0.100Cu0.100Te,260.8287587878787,249.61674319696962,269.0465124242424,310.9190451919191,333.06188745454534,276.306645520202,248.6202353636363,254.92623429292922,300.7935453737373,268.4413068080807
1525,Ge0.500Ti0.100Mn0.100Zn0.300Te,288.28324470707065,296.2660733333333,323.4186989898989,378.5738054545454,355.61001393939387,345.7197049090908,279.2635087878787,331.54506812121207,336.19242459595955,324.28000426767676
1526,Ge0.500Ti0.100Mn0.200Zn0.200Te,209.0277897474747,229.49382102020195,282.4519674747474,370.8144097121212,348.7671466666666,329.2517324747474,251.47626739393934,249.88884511111104,307.0103913888888,281.4691355050505
1527,Ge0.500Ti0.100Mn0.300Zn0.100Te,259.368393050505,260.46800790909083,259.50053614141405,358.98977106060596,363.12402247474733,310.59950623232317,288.45459496969687,282.53546641414135,324.91997614141405,280.86914535353526
1528,Ge0.500Ti0.200Mn0.100Zn0.200Te,177.90315778787874,190.6393244444444,262.03425666666664,344.2610459090908,326.9606259595959,285.17349625252524,234.820709050505,225.43135551515144,271.30997161616153,228.0180998535353
1529,Ge0.500Ti0.200Mn0.200Zn0.100Te,186.07708360606057,193.97938308080805,263.2958613838383,353.9841600252524,313.6679427373736,300.40741803030295,248.240391040404,233.9923365656565,290.8496595454544,240.59389306565652
1530,Ge0.500Ti0.300Mn0.100Zn0.100Te,249.47995878787873,252.50262550505045,286.57755691919186,334.9081694444444,348.057575050505,317.4264209696969,260.6900549999999,291.2434596464646,287.2341473131312,269.9614303030302
1531,Ge0.500Ti0.100Mn0.100Zr0.300Te,283.7856215353534,280.77750073737366,283.5403924242424,308.09464484848473,347.3676625656565,278.8867197070706,255.72498813131307,256.7850537373737,308.257444570707,245.11931121212115
1532,Ge0.500Ti0.100Mn0.200Zr0.200Te,249.70189262626255,231.27493737373732,258.64846088383837,323.1131148484848,321.21045445454536,277.3262413636363,227.66643782828277,248.2891505555555,312.4265438383838,238.04038582323227
1533,Ge0.500Ti0.100Mn0.300Zr0.100Te,314.15095941414125,267.3314598282828,282.24542535353527,356.90829505050493,355.29371384848474,315.9596511616161,305.10539317171714,322.0488118181817,331.6750379292928,298.9976849292929
1534,Ge0.500Ti0.200Mn0.100Zr0.200Te,210.2667289393939,201.5878554444444,230.2189192424242,320.9510599494949,318.0106686363635,225.18298330808074,212.8052763737373,201.7880336363636,275.40772606060597,193.38485348484846
1535,Ge0.500Ti0.200Mn0.200Zr0.100Te,267.9309179545454,218.69787621212117,267.18705949494944,346.0996549393939,324.54367881313124,273.23848505050495,235.3008581212121,229.72489733333327,348.17644136363623,238.7134788383838
1536,Ge0.500Ti0.300Mn0.100Zr0.100Te,279.63586571717167,280.39826131313123,301.9577907070706,310.6404198989898,346.42901651515143,291.2767764949494,259.2473584444444,278.7029075959595,311.8540241414141,281.50576753535347
1537,Ge0.500Ti0.100Mn0.100Nb0.300Te,275.5066256262626,243.1280157727272,240.4006105555555,314.87450676767673,391.3125959090908,257.1943029191919,252.4734404545454,198.7802747525252,300.07073915151506,268.369243070707
1538,Ge0.500Ti0.100Mn0.200Nb0.200Te,249.55075641414135,206.21178599999996,227.09586138383835,348.5541558585857,348.2243446464646,233.09258772727264,229.4763898686868,212.58494720202015,313.77505772727267,205.41970308080806
1539,Ge0.500Ti0.100Mn0.300Nb0.100Te,320.3766925505049,273.313611060606,271.8386702020201,355.05958371212114,370.69750581818175,297.015337540404,304.6638852222221,302.6271861868686,354.4383397777777,303.68522513636356
1540,Ge0.500Ti0.200Mn0.100Nb0.200Te,214.64816242424237,193.72533593939391,211.53493797979795,339.6647302121212,350.82492010101004,201.7599658282828,210.96606297979793,182.7306242727272,297.3539567777777,175.40824994949492
1541,Ge0.500Ti0.200Mn0.200Nb0.100Te,286.8026027474747,247.7136915555555,260.9676154343434,346.40946308080805,361.1676853434342,258.003431550505,241.33314272727267,234.4195812727272,353.3825555555555,230.15904646464642
1542,Ge0.500Ti0.300Mn0.100Nb0.100Te,295.4191181818181,296.8540816161615,300.5747736565656,324.63460863636357,365.6238141919191,282.9088329292929,255.11718131313125,260.5806421717171,327.65021964646456,271.84084833333327
1543,Ge0.500Ti0.100Mn0.100Mo0.300Te,272.71260896969693,237.48165826262618,207.8398225555555,343.6007703535352,335.6414063232322,242.21491741919183,259.3693703030302,199.32078287373736,276.1558538888888,248.22405074747468
1544,Ge0.500Ti0.100Mn0.200Mo0.200Te,218.33137321212115,207.3739532121212,212.92219888888883,341.6700975252524,289.5029105959595,242.72751979292923,216.60566657575754,189.36944421212115,284.06455268686864,236.19639998989894
1545,Ge0.500Ti0.100Mn0.300Mo0.100Te,281.07778379797975,263.0733868686868,250.81789903030295,328.7553593333333,341.44148888888884,294.003943060606,288.48455090909084,279.86919004040396,321.5147225757575,276.0587818686868
1546,Ge0.500Ti0.200Mn0.100Mo0.200Te,185.89467732323226,166.10167465656562,223.41117228787874,330.2645327474747,311.34152338383825,176.42429378787872,196.05470444444438,168.05477899494946,265.08524747979794,197.08537328282824
1547,Ge0.500Ti0.200Mn0.200Mo0.100Te,237.91932858585855,209.1021931313131,234.49000090909087,314.8850301616161,311.94015280303023,242.90074779797973,228.2686780858585,209.15793820707066,303.68467713636363,229.32478738383833
1548,Ge0.500Ti0.300Mn0.100Mo0.100Te,242.04621553030296,261.0866386262625,268.47622444444437,307.30071521212113,337.80604028282823,287.9648654545454,249.69378068686862,255.90861186868682,297.0663271717171,255.31778359595955
1549,Ge0.500Ti0.100Mn0.100Ag0.300Te,351.4227586868686,319.4526409090908,387.0208660101009,416.1016608080807,422.924837070707,366.2897092929292,331.50944989898977,344.8713901515151,372.00431515151513,369.05396686868676
1550,Ge0.500Ti0.100Mn0.200Ag0.200Te,247.11173339393935,237.1273628787878,314.36146823232315,397.19210878787874,394.13448837373727,289.73936691919187,272.2763138636363,229.1402422424242,338.90479949494943,310.48595984848475
1551,Ge0.500Ti0.100Mn0.300Ag0.100Te,313.1364810101009,245.53662589898983,284.7889226767676,378.8132479545454,380.05501993939384,296.77446222222216,319.4599073030302,282.8299006565656,375.41860454545446,319.1145572222222
1552,Ge0.500Ti0.200Mn0.100Ag0.200Te,211.00652274242418,192.33683598484845,288.7717413636363,366.2144363131312,353.18118038383824,237.01999758080802,246.34865634343427,196.21307479797971,303.813571070707,252.31379349494946
1553,Ge0.500Ti0.200Mn0.200Ag0.100Te,247.0238911313131,173.77748188888884,253.53951570707068,382.77768709595944,324.5469736565655,257.8885401919191,243.64877251515148,184.39821719191914,310.81173343434335,262.3487119595959
1554,Ge0.500Ti0.300Mn0.100Ag0.100Te,295.90807843434334,257.98623944949486,303.2223502777777,347.24129416666665,362.1168716161615,270.477537080808,254.95925554545448,263.02488364646456,318.87196661616156,269.8494575252525
1555,Ge0.500Ti0.100Mn0.100Cd0.300Te,367.7746985858585,320.9188042929292,390.4445878787878,401.4032904545454,397.0647298484848,373.5293232828282,277.2134814898989,356.9416388383838,345.99647489898985,378.3012547474747
1556,Ge0.500Ti0.100Mn0.200Cd0.200Te,261.9221586363636,246.01213840404037,334.26888222222215,382.58923385858577,347.6645273636363,326.4786308282827,245.22840038383833,276.6121435858585,315.67724063131305,318.5099737373736
1557,Ge0.500Ti0.100Mn0.300Cd0.100Te,302.11970202020194,268.7075370202019,303.5422957070706,365.2866652020201,357.4428646565656,321.5342595959595,284.93029222222214,311.84582893939387,339.8615228282827,310.60177184848476
